,CPU Wins,CPU Loses,Draws,Total Games Played
0,0,0,1,1
,0,1,2,3
0,3378,3345,3278,10001
,0,1,2,3
0,6756,6662,6583,20001
,0,1,2,3
0,10083,9982,9936,30001
,0,1,2,3
0,13356,13274,13371,40001
0,0,0,1,1
0,3389,3280,3332,10001
0,6733,6586,6682,20001
0,10027,9881,10093,30001
0,13375,13207,13419,40001
0,0,0,1,1
0,3389,3280,3332,10001
0,6733,6586,6682,20001
0,10027,9881,10093,30001
0,13375,13207,13419,40001
0,0,0,1,1
0,3389,3280,3332,10001
0,6733,6586,6682,20001
0,10027,9881,10093,30001
0,13375,13207,13419,40001
0,0,0,1,1
0,3389,3280,3332,10001
0,6733,6586,6682,20001
0,10027,9881,10093,30001
0,13375,13207,13419,40001
0,0,0,1,1
0,3258,3371,3372,10001
0,6647,6676,6678,20001
0,9985,9949,10067,30001
0,13182,13333,13486,40001
0,0,0,1,1
0,3324,3282,3395,10001
0,6616,6551,6834,20001
0,9942,9950,10109,30001
0,13310,13235,13456,40001
0,0,0,1,1
0,3260,3318,3423,10001
0,6605,6649,6747,20001
0,9890,9992,10119,30001
0,13161,13369,13471,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,3353,3421,3227,10001
0,6632,6820,6549,20001
0,10028,10134,9839,30001
0,13370,13468,13163,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,3293,3276,3432,10001
0,6612,6666,6723,20001
0,9903,10098,10000,30001
0,13254,13392,13355,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,3333,3346,3322,10001
0,6654,6717,6630,20001
0,9964,10097,9940,30001
0,13362,13397,13242,40001
0,0,0,1,1
0,3388,3269,3344,10001
0,6756,6602,6643,20001
0,10111,9963,9927,30001
0,13493,13330,13178,40001
0,0,0,1,1
0,3323,3316,3362,10001
0,6655,6610,6736,20001
0,10039,9991,9971,30001
0,13415,13328,13258,40001
0,0,0,1,1
0,3325,3361,3315,10001
0,6696,6732,6573,20001
0,10056,10077,9868,30001
0,13378,13467,13156,40001
0,0,0,1,1
0,0,0,1,1
0,3284,3457,3260,10001
0,6604,6790,6607,20001
0,9949,10068,9984,30001
0,13315,13324,13362,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,3370,3329,3302,10001
0,6671,6663,6667,20001
0,9933,10037,10031,30001
0,13170,13429,13402,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,3328,3216,3457,10001
0,6731,6517,6753,20001
0,10009,9912,10080,30001
0,13359,13247,13395,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,10001,10001
0,0,0,1,1
0,3305,3341,3355,10001
0,0,0,1,1
0,3279,3274,3448,10001
0,6517,6624,6860,20001
0,9831,9998,10172,30001
0,13192,13342,13467,40001
0,0,0,1,1
0,3343,3300,3358,10001
0,6708,6602,6691,20001
0,10154,9921,9926,30001
0,13455,13307,13239,40001
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,3369,3308,3324,10001
0,6751,6645,6605,20001
0,10145,9926,9930,30001
0,13476,13274,13251,40001
0,0,0,1,1
0,3364,3292,3345,10001
0,6688,6705,6608,20001
0,10056,9999,9946,30001
0,13389,13320,13292,40001
0,0,0,1,1
0,0,0,1,1
0,3309,3307,3385,10001
0,6693,6633,6675,20001
0,10058,9972,9971,30001
0,13404,13281,13316,40001
0,0,0,1,1
0,3381,3363,3257,10001
0,6741,6683,6577,20001
0,10091,10059,9851,30001
0,13444,13357,13200,40001
0,0,0,1,1
0,3369,3393,3239,10001
0,6707,6675,6619,20001
0,10043,10010,9948,30001
0,13380,13273,13348,40001
0,0,0,1,1
0,3294,3351,3356,10001
0,6560,6651,6790,20001
0,9890,10016,10095,30001
0,13212,13337,13452,40001
0,0,0,1,1
0,3389,3280,3332,10001
0,6733,6586,6682,20001
0,10027,9881,10093,30001
0,13375,13207,13419,40001
0,0,0,1,1
0,3389,3280,3332,10001
0,6733,6586,6682,20001
0,10027,9881,10093,30001
0,13375,13207,13419,40001
0,0,0,1,1
0,3248,3332,3421,10001
0,6537,6689,6775,20001
0,9910,10033,10058,30001
0,13247,13426,13328,40001
0,0,0,1,1
